model,bug,condition,file_shape,compiles,ran,focal_class,line_missed,line_covered,line_pct,branch_missed,branch_covered,branch_pct,note
gpt-5.5-instant,Chart-15,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
llama,Chart-17,C1,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
llama,Chart-17,C2,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:abstract_instantiation
gemini,Chart-17,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:no_suitable_constructor
gemini,Chart-17,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:no_suitable_constructor
deepseek,Chart-17,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:no_suitable_constructor
deepseek,Chart-17,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:no_suitable_constructor
gpt-5.5-instant,Chart-17,C1,fragment,True,True,org/jfree/data/time/TimeSeries,211,68,24.4,110,28,20.3,
gpt-5.5-instant,Chart-17,C2,fragment,True,True,org/jfree/data/time/TimeSeries,234,45,16.1,124,14,10.1,
llama,Chart-19,C1,full_class,True,True,org/jfree/chart/plot/CategoryPlot,977,132,11.9,565,33,5.5,
llama,Chart-19,C2,full_class,True,True,org/jfree/chart/plot/CategoryPlot,977,132,11.9,565,33,5.5,
gemini,Chart-19,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gemini,Chart-19,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Chart-19,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Chart-19,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Chart-19,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Chart-19,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
llama,Chart-21,C1,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:no_suitable_constructor
llama,Chart-21,C2,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
gemini,Chart-21,C1,fragment,True,True,org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset,114,71,38.4,45,37,45.1,
gemini,Chart-21,C2,fragment,True,True,org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset,145,40,21.6,70,12,14.6,
deepseek,Chart-21,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:private_method_access
deepseek,Chart-21,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
gpt-5.5-instant,Chart-21,C1,fragment,True,True,org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset,144,41,22.2,68,14,17.1,
gpt-5.5-instant,Chart-21,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
llama,Chart-22,C1,full_class,True,True,org/jfree/data/KeyedObjects2D,116,29,20.0,67,7,9.5,
llama,Chart-22,C2,full_class,True,True,org/jfree/data/KeyedObjects2D,117,28,19.3,68,6,8.1,
gemini,Chart-22,C1,fragment,True,True,org/jfree/data/KeyedObjects2D,135,10,6.9,72,2,2.7,
gemini,Chart-22,C2,fragment,True,True,org/jfree/data/KeyedObjects2D,117,28,19.3,67,7,9.5,
deepseek,Chart-22,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Chart-22,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Chart-22,C1,fragment,True,True,org/jfree/data/KeyedObjects2D,106,39,26.9,62,12,16.2,
gpt-5.5-instant,Chart-22,C2,fragment,True,True,org/jfree/data/KeyedObjects2D,115,30,20.7,67,7,9.5,
llama,Chart-23,C1,full_class,True,True,org/jfree/chart/renderer/category/MinMaxCategoryRenderer,84,41,32.8,35,13,27.1,
llama,Chart-23,C2,full_class,True,True,org/jfree/chart/renderer/category/MinMaxCategoryRenderer,84,41,32.8,35,13,27.1,
gemini,Chart-23,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gemini,Chart-23,C2,fragment,True,True,org/jfree/chart/renderer/category/MinMaxCategoryRenderer,84,41,32.8,34,14,29.2,
deepseek,Chart-23,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Chart-23,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Chart-23,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Chart-23,C2,fragment,True,True,org/jfree/chart/renderer/category/MinMaxCategoryRenderer,83,42,33.6,35,13,27.1,
llama,Chart-24,C1,full_class,True,True,org/jfree/chart/renderer/GrayPaintScale,16,9,36.0,9,1,10.0,
llama,Chart-24,C2,full_class,True,True,org/jfree/chart/renderer/GrayPaintScale,16,9,36.0,9,1,10.0,
gemini,Chart-24,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gemini,Chart-24,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Chart-24,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Chart-24,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Chart-24,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Chart-24,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
llama,Lang-8,C1,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:private_method_access
llama,Lang-8,C2,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:private_method_access
gemini,Lang-8,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gemini,Lang-8,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Lang-8,C1,full_class,True,True,org/apache/commons/lang3/time/FastDatePrinter,155,8,4.9,99,3,2.9,
deepseek,Lang-8,C2,full_class,True,True,org/apache/commons/lang3/time/FastDatePrinter,155,8,4.9,99,3,2.9,
gpt-5.5-instant,Lang-8,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Lang-8,C2,fragment,True,True,org/apache/commons/lang3/time/FastDatePrinter,155,8,4.9,99,3,2.9,
llama,Lang-10,C1,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:illegal_escape_character
llama,Lang-10,C2,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:illegal_escape_character
gemini,Lang-10,C1,fragment,True,True,org/apache/commons/lang3/time/FastDateParser,146,33,18.4,86,9,9.5,
gemini,Lang-10,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:private_method_access
deepseek,Lang-10,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Lang-10,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Lang-10,C1,fragment,True,True,org/apache/commons/lang3/time/FastDateParser,146,33,18.4,86,9,9.5,
gpt-5.5-instant,Lang-10,C2,fragment,True,True,org/apache/commons/lang3/time/FastDateParser,146,33,18.4,86,9,9.5,
llama,Lang-19,C1,full_class,True,True,org/apache/commons/lang3/text/translate/NumericEntityUnescaper,5,25,83.3,7,31,81.6,
llama,Lang-19,C2,full_class,True,True,org/apache/commons/lang3/text/translate/NumericEntityUnescaper,5,25,83.3,7,31,81.6,
gemini,Lang-19,C1,fragment,True,True,org/apache/commons/lang3/text/translate/NumericEntityUnescaper,0,30,100.0,4,34,89.5,
gemini,Lang-19,C2,fragment,True,True,org/apache/commons/lang3/text/translate/NumericEntityUnescaper,6,24,80.0,14,24,63.2,
deepseek,Lang-19,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Lang-19,C2,fragment,True,True,org/apache/commons/lang3/text/translate/NumericEntityUnescaper,0,30,100.0,3,35,92.1,
gpt-5.5-instant,Lang-19,C1,fragment,True,True,org/apache/commons/lang3/text/translate/NumericEntityUnescaper,0,30,100.0,4,34,89.5,
gpt-5.5-instant,Lang-19,C2,fragment,True,True,org/apache/commons/lang3/text/translate/NumericEntityUnescaper,1,29,96.7,8,30,78.9,
llama,Lang-22,C1,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:private_method_access
llama,Lang-22,C2,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:private_method_access
gemini,Lang-22,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:private_method_access
gemini,Lang-22,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:private_method_access
deepseek,Lang-22,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Lang-22,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:private_method_access
gpt-5.5-instant,Lang-22,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Lang-22,C2,fragment,True,True,org/apache/commons/lang3/math/Fraction,224,40,15.2,170,26,13.3,
llama,Lang-26,C1,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
llama,Lang-26,C2,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
gemini,Lang-26,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
gemini,Lang-26,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
deepseek,Lang-26,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
deepseek,Lang-26,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
gpt-5.5-instant,Lang-26,C1,fragment,True,True,org/apache/commons/lang3/time/FastDateFormat,151,111,42.4,90,58,39.2,
gpt-5.5-instant,Lang-26,C2,fragment,True,True,org/apache/commons/lang3/time/FastDateFormat,154,108,41.2,97,51,34.5,
llama,Lang-30,C1,full_class,True,True,org/apache/commons/lang3/StringUtils,1182,18,1.5,1068,19,1.7,
llama,Lang-30,C2,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
gemini,Lang-30,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
gemini,Lang-30,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
deepseek,Lang-30,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
deepseek,Lang-30,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
gpt-5.5-instant,Lang-30,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
gpt-5.5-instant,Lang-30,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
llama,Lang-41,C1,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
llama,Lang-41,C2,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
gemini,Lang-41,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gemini,Lang-41,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
deepseek,Lang-41,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
deepseek,Lang-41,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Lang-41,C1,fragment,True,True,org/apache/commons/lang/ClassUtils,226,42,15.7,205,15,6.8,
gpt-5.5-instant,Lang-41,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:ambiguous_method_overload
llama,Lang-42,C1,full_class,True,True,org/apache/commons/lang/Entities,67,41,38.0,28,10,26.3,
llama,Lang-42,C2,full_class,True,True,org/apache/commons/lang/Entities,67,41,38.0,28,10,26.3,
gemini,Lang-42,C1,fragment,True,True,org/apache/commons/lang/Entities,65,43,39.8,27,11,28.9,
gemini,Lang-42,C2,fragment,True,True,org/apache/commons/lang/Entities,65,43,39.8,27,11,28.9,
deepseek,Lang-42,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:other_compile_error
deepseek,Lang-42,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:other_compile_error
gpt-5.5-instant,Lang-42,C1,fragment,True,True,org/apache/commons/lang/Entities,64,44,40.7,27,11,28.9,
gpt-5.5-instant,Lang-42,C2,fragment,True,True,org/apache/commons/lang/Entities,67,41,38.0,28,10,26.3,
llama,Lang-57,C1,full_class,True,True,org/apache/commons/lang/LocaleUtils,69,7,9.2,64,0,0.0,
llama,Lang-57,C2,full_class,True,True,org/apache/commons/lang/LocaleUtils,69,7,9.2,64,0,0.0,
gemini,Lang-57,C1,fragment,True,True,org/apache/commons/lang/LocaleUtils,69,7,9.2,64,0,0.0,
gemini,Lang-57,C2,fragment,True,True,org/apache/commons/lang/LocaleUtils,69,7,9.2,64,0,0.0,
deepseek,Lang-57,C1,fragment,True,True,org/apache/commons/lang/LocaleUtils,69,7,9.2,64,0,0.0,
deepseek,Lang-57,C2,fragment,True,True,org/apache/commons/lang/LocaleUtils,69,7,9.2,64,0,0.0,
gpt-5.5-instant,Lang-57,C1,fragment,True,True,org/apache/commons/lang/LocaleUtils,69,7,9.2,64,0,0.0,
gpt-5.5-instant,Lang-57,C2,fragment,True,True,org/apache/commons/lang/LocaleUtils,69,7,9.2,64,0,0.0,
llama,Lang-60,C1,full_class,True,True,org/apache/commons/lang/text/StrBuilder,590,11,1.8,431,5,1.1,
llama,Lang-60,C2,full_class,True,True,org/apache/commons/lang/text/StrBuilder,590,11,1.8,431,5,1.1,
gemini,Lang-60,C1,fragment,True,True,org/apache/commons/lang/text/StrBuilder,580,21,3.5,427,9,2.1,
gemini,Lang-60,C2,fragment,True,True,org/apache/commons/lang/text/StrBuilder,565,36,6.0,424,12,2.8,
deepseek,Lang-60,C1,fragment,True,True,org/apache/commons/lang/text/StrBuilder,580,21,3.5,427,9,2.1,
deepseek,Lang-60,C2,fragment,True,True,org/apache/commons/lang/text/StrBuilder,574,27,4.5,427,9,2.1,
gpt-5.5-instant,Lang-60,C1,fragment,True,True,org/apache/commons/lang/text/StrBuilder,579,22,3.7,428,8,1.8,
gpt-5.5-instant,Lang-60,C2,fragment,True,True,org/apache/commons/lang/text/StrBuilder,579,22,3.7,428,8,1.8,
llama,Math-2,C1,full_class,True,True,org/apache/commons/math3/distribution/HypergeometricDistribution,48,18,27.3,21,5,19.2,
llama,Math-2,C2,full_class,True,True,org/apache/commons/math3/distribution/HypergeometricDistribution,48,18,27.3,21,5,19.2,
gemini,Math-2,C1,fragment,True,True,org/apache/commons/math3/distribution/HypergeometricDistribution,51,15,22.7,21,5,19.2,
gemini,Math-2,C2,fragment,True,True,org/apache/commons/math3/distribution/HypergeometricDistribution,48,18,27.3,21,5,19.2,
deepseek,Math-2,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Math-2,C2,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:incompatible_types
gpt-5.5-instant,Math-2,C1,fragment,True,True,org/apache/commons/math3/distribution/HypergeometricDistribution,48,18,27.3,21,5,19.2,
gpt-5.5-instant,Math-2,C2,fragment,True,True,org/apache/commons/math3/distribution/HypergeometricDistribution,48,18,27.3,21,5,19.2,
llama,Math-9,C1,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:no_suitable_constructor
llama,Math-9,C2,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:no_suitable_constructor
gemini,Math-9,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gemini,Math-9,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:no_suitable_constructor
deepseek,Math-9,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Math-9,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Math-9,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Math-9,C2,fragment,True,True,org/apache/commons/math3/geometry/euclidean/threed/Line,28,18,39.1,15,1,6.2,
llama,Math-27,C1,full_class,True,True,org/apache/commons/math3/fraction/Fraction,142,27,16.0,89,5,5.3,
llama,Math-27,C2,full_class,True,True,org/apache/commons/math3/fraction/Fraction,142,27,16.0,89,5,5.3,
gemini,Math-27,C1,fragment,True,True,org/apache/commons/math3/fraction/Fraction,142,27,16.0,89,5,5.3,
gemini,Math-27,C2,fragment,True,True,org/apache/commons/math3/fraction/Fraction,142,27,16.0,89,5,5.3,
deepseek,Math-27,C1,fragment,True,True,org/apache/commons/math3/fraction/Fraction,142,27,16.0,89,5,5.3,
deepseek,Math-27,C2,fragment,True,True,org/apache/commons/math3/fraction/Fraction,139,30,17.8,86,8,8.5,
gpt-5.5-instant,Math-27,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Math-27,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
llama,Math-53,C1,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:private_method_access
llama,Math-53,C2,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:private_method_access
gemini,Math-53,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gemini,Math-53,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Math-53,C1,fragment,True,True,org/apache/commons/math/complex/Complex,137,18,11.6,105,13,11.0,
deepseek,Math-53,C2,fragment,True,True,org/apache/commons/math/complex/Complex,132,23,14.8,102,16,13.6,
gpt-5.5-instant,Math-53,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Math-53,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
llama,Math-55,C1,full_class,True,True,org/apache/commons/math/geometry/Vector3D,89,42,32.1,38,12,24.0,
llama,Math-55,C2,full_class,True,True,org/apache/commons/math/geometry/Vector3D,87,44,33.6,38,12,24.0,
gemini,Math-55,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:private_method_access
gemini,Math-55,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:private_method_access
deepseek,Math-55,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:private_method_access
deepseek,Math-55,C2,fragment,True,True,org/apache/commons/math/geometry/Vector3D,91,40,30.5,39,11,22.0,
gpt-5.5-instant,Math-55,C1,fragment,True,True,org/apache/commons/math/geometry/Vector3D,94,37,28.2,48,2,4.0,
gpt-5.5-instant,Math-55,C2,fragment,True,True,org/apache/commons/math/geometry/Vector3D,95,36,27.5,49,1,2.0,
llama,Math-59,C1,full_class,True,True,org/apache/commons/math/util/FastMath,1261,286,18.5,605,57,8.6,
llama,Math-59,C2,full_class,True,True,org/apache/commons/math/util/FastMath,1261,286,18.5,605,57,8.6,
gemini,Math-59,C1,fragment,True,True,org/apache/commons/math/util/FastMath,1261,286,18.5,605,57,8.6,
gemini,Math-59,C2,fragment,True,True,org/apache/commons/math/util/FastMath,1261,286,18.5,605,57,8.6,
deepseek,Math-59,C1,fragment,True,True,org/apache/commons/math/util/FastMath,1261,286,18.5,605,57,8.6,
deepseek,Math-59,C2,fragment,True,True,org/apache/commons/math/util/FastMath,1261,286,18.5,606,56,8.5,
gpt-5.5-instant,Math-59,C1,fragment,True,True,org/apache/commons/math/util/FastMath,1261,286,18.5,605,57,8.6,
gpt-5.5-instant,Math-59,C2,fragment,True,True,org/apache/commons/math/util/FastMath,1261,286,18.5,605,57,8.6,
llama,Math-63,C1,full_class,True,True,org/apache/commons/math/util/MathUtils,471,9,1.9,426,8,1.8,
llama,Math-63,C2,full_class,True,True,org/apache/commons/math/util/MathUtils,469,11,2.3,424,10,2.3,
gemini,Math-63,C1,fragment,True,True,org/apache/commons/math/util/MathUtils,469,11,2.3,423,11,2.5,
gemini,Math-63,C2,fragment,True,True,org/apache/commons/math/util/MathUtils,469,11,2.3,423,11,2.5,
deepseek,Math-63,C1,fragment,True,True,org/apache/commons/math/util/MathUtils,469,11,2.3,423,11,2.5,
deepseek,Math-63,C2,fragment,True,True,org/apache/commons/math/util/MathUtils,469,11,2.3,423,11,2.5,
gpt-5.5-instant,Math-63,C1,fragment,True,True,org/apache/commons/math/util/MathUtils,470,10,2.1,424,10,2.3,
gpt-5.5-instant,Math-63,C2,fragment,True,True,org/apache/commons/math/util/MathUtils,471,9,1.9,427,7,1.6,
llama,Math-70,C1,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
llama,Math-70,C2,full_class,False,False,,0,0,0.0,0,0,0.0,nocompile:unreported_checked_exception
gemini,Math-70,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gemini,Math-70,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Math-70,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
deepseek,Math-70,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Math-70,C1,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
gpt-5.5-instant,Math-70,C2,fragment,False,False,,0,0,0.0,0,0,0.0,nocompile:cannot_find_symbol
llama,Math-75,C1,full_class,True,True,org/apache/commons/math/stat/Frequency,103,26,20.2,40,8,16.7,
llama,Math-75,C2,full_class,True,True,org/apache/commons/math/stat/Frequency,99,30,23.3,40,8,16.7,
gemini,Math-75,C1,fragment,True,True,org/apache/commons/math/stat/Frequency,101,28,21.7,38,10,20.8,
gemini,Math-75,C2,fragment,True,True,org/apache/commons/math/stat/Frequency,99,30,23.3,38,10,20.8,
deepseek,Math-75,C1,fragment,True,True,org/apache/commons/math/stat/Frequency,101,28,21.7,38,10,20.8,
deepseek,Math-75,C2,fragment,True,True,org/apache/commons/math/stat/Frequency,97,32,24.8,38,10,20.8,
gpt-5.5-instant,Math-75,C1,fragment,True,True,org/apache/commons/math/stat/Frequency,101,28,21.7,38,10,20.8,
gpt-5.5-instant,Math-75,C2,fragment,True,True,org/apache/commons/math/stat/Frequency,101,28,21.7,38,10,20.8,
llama,Math-79,C1,full_class,True,True,org/apache/commons/math/util/MathUtils,384,6,1.5,341,2,0.6,
llama,Math-79,C2,full_class,True,True,org/apache/commons/math/util/MathUtils,384,6,1.5,341,2,0.6,
gemini,Math-79,C1,fragment,True,True,org/apache/commons/math/util/MathUtils,384,6,1.5,341,2,0.6,
gemini,Math-79,C2,fragment,True,True,org/apache/commons/math/util/MathUtils,384,6,1.5,341,2,0.6,
deepseek,Math-79,C1,fragment,True,True,org/apache/commons/math/util/MathUtils,384,6,1.5,341,2,0.6,
deepseek,Math-79,C2,fragment,True,True,org/apache/commons/math/util/MathUtils,384,6,1.5,341,2,0.6,
gpt-5.5-instant,Math-79,C1,fragment,True,True,org/apache/commons/math/util/MathUtils,384,6,1.5,341,2,0.6,
gpt-5.5-instant,Math-79,C2,fragment,True,True,org/apache/commons/math/util/MathUtils,384,6,1.5,341,2,0.6,
