model,bug,condition,file_shape,compiles_f,pass_f,found_f,failed_f,compiles_b,pass_b,found_b,failed_b,bug_detected,note
gpt-5.5-instant,Chart-19,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Chart-19,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
llama,Chart-21,C1,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:no_suitable_constructor
llama,Chart-21,C2,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
gemini,Chart-21,C1,fragment,True,True,4,0,True,False,4,2,True,
gemini,Chart-21,C2,fragment,True,False,5,1,True,False,5,1,False,
deepseek,Chart-21,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:private_method_access
deepseek,Chart-21,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
gpt-5.5-instant,Chart-21,C1,fragment,True,True,4,0,True,False,4,0,False,
gpt-5.5-instant,Chart-21,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
llama,Chart-22,C1,full_class,True,False,4,1,True,False,4,2,False,
llama,Chart-22,C2,full_class,True,False,3,1,True,False,3,2,False,
gemini,Chart-22,C1,fragment,True,True,2,0,True,False,2,1,True,
gemini,Chart-22,C2,fragment,True,True,3,0,True,False,3,2,True,
deepseek,Chart-22,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Chart-22,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Chart-22,C1,fragment,True,True,4,0,True,False,4,2,True,
gpt-5.5-instant,Chart-22,C2,fragment,True,True,2,0,True,False,2,1,True,
llama,Chart-23,C1,full_class,True,True,7,0,True,False,7,3,True,
llama,Chart-23,C2,full_class,True,True,7,0,True,False,7,3,True,
gemini,Chart-23,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gemini,Chart-23,C2,fragment,True,True,1,0,True,False,1,1,True,
deepseek,Chart-23,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Chart-23,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Chart-23,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Chart-23,C2,fragment,True,False,4,1,True,False,4,2,False,
llama,Chart-24,C1,full_class,True,False,6,1,True,False,6,3,False,
llama,Chart-24,C2,full_class,True,False,6,2,True,False,6,4,False,
gemini,Chart-24,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gemini,Chart-24,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Chart-24,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Chart-24,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Chart-24,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Chart-24,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
llama,Lang-8,C1,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:private_method_access
llama,Lang-8,C2,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:private_method_access
gemini,Lang-8,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gemini,Lang-8,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Lang-8,C1,full_class,True,True,4,0,True,False,4,0,False,
deepseek,Lang-8,C2,full_class,True,True,5,0,True,False,5,0,False,
gpt-5.5-instant,Lang-8,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Lang-8,C2,fragment,True,True,2,0,True,False,2,0,False,
llama,Lang-10,C1,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:illegal_escape_character
llama,Lang-10,C2,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:illegal_escape_character
gemini,Lang-10,C1,fragment,True,False,8,1,True,False,8,1,False,
gemini,Lang-10,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:private_method_access
deepseek,Lang-10,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Lang-10,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Lang-10,C1,fragment,True,False,7,1,True,False,7,1,False,
gpt-5.5-instant,Lang-10,C2,fragment,True,False,6,1,True,False,6,1,False,
llama,Lang-19,C1,full_class,True,False,8,4,True,False,8,4,False,
llama,Lang-19,C2,full_class,True,False,7,3,True,False,7,3,False,
gemini,Lang-19,C1,fragment,True,True,9,0,True,False,9,4,True,
gemini,Lang-19,C2,fragment,True,False,1,1,True,False,1,1,False,
deepseek,Lang-19,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Lang-19,C2,fragment,True,False,19,13,True,False,19,15,False,
gpt-5.5-instant,Lang-19,C1,fragment,True,True,11,0,True,False,11,3,True,
gpt-5.5-instant,Lang-19,C2,fragment,True,True,6,0,True,False,6,1,True,
llama,Lang-22,C1,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:private_method_access
llama,Lang-22,C2,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:private_method_access
gemini,Lang-22,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:private_method_access
gemini,Lang-22,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:private_method_access
deepseek,Lang-22,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Lang-22,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:private_method_access
gpt-5.5-instant,Lang-22,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Lang-22,C2,fragment,True,True,4,0,True,False,4,3,True,
llama,Lang-26,C1,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
llama,Lang-26,C2,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
gemini,Lang-26,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
gemini,Lang-26,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
deepseek,Lang-26,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
deepseek,Lang-26,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
gpt-5.5-instant,Lang-26,C1,fragment,True,True,4,0,True,False,4,0,False,
gpt-5.5-instant,Lang-26,C2,fragment,True,True,4,0,True,False,4,0,False,
llama,Lang-30,C1,full_class,True,True,10,0,True,False,10,0,False,
llama,Lang-30,C2,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
gemini,Lang-30,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
gemini,Lang-30,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
deepseek,Lang-30,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
deepseek,Lang-30,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
gpt-5.5-instant,Lang-30,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
gpt-5.5-instant,Lang-30,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
llama,Lang-41,C1,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
llama,Lang-41,C2,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
gemini,Lang-41,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gemini,Lang-41,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
deepseek,Lang-41,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
deepseek,Lang-41,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Lang-41,C1,fragment,True,True,10,0,True,False,10,3,True,
gpt-5.5-instant,Lang-41,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:ambiguous_method_overload
llama,Lang-42,C1,full_class,True,False,7,2,True,False,7,4,False,
llama,Lang-42,C2,full_class,True,False,5,2,True,False,5,3,False,
gemini,Lang-42,C1,fragment,True,True,6,0,True,False,6,1,True,
gemini,Lang-42,C2,fragment,True,True,4,0,True,False,4,1,True,
deepseek,Lang-42,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:other_compile_error
deepseek,Lang-42,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:other_compile_error
gpt-5.5-instant,Lang-42,C1,fragment,True,True,6,0,True,False,6,1,True,
gpt-5.5-instant,Lang-42,C2,fragment,True,False,5,1,True,False,5,2,False,
llama,Lang-57,C1,full_class,True,False,3,1,True,False,3,2,False,
llama,Lang-57,C2,full_class,True,False,3,1,True,False,3,2,False,
gemini,Lang-57,C1,fragment,True,True,3,0,True,False,3,3,True,
gemini,Lang-57,C2,fragment,True,True,2,0,True,False,2,2,True,
deepseek,Lang-57,C1,fragment,True,True,6,0,True,False,6,6,True,
deepseek,Lang-57,C2,fragment,True,True,1,0,True,False,1,1,True,
gpt-5.5-instant,Lang-57,C1,fragment,True,True,4,0,True,False,4,4,True,
gpt-5.5-instant,Lang-57,C2,fragment,True,True,3,0,True,False,3,3,True,
llama,Lang-60,C1,full_class,True,False,4,1,True,False,4,0,False,
llama,Lang-60,C2,full_class,True,True,4,0,True,False,4,1,True,
gemini,Lang-60,C1,fragment,True,True,7,0,True,False,7,0,False,
gemini,Lang-60,C2,fragment,True,True,4,0,True,False,4,1,True,
deepseek,Lang-60,C1,fragment,True,True,7,0,True,False,7,0,False,
deepseek,Lang-60,C2,fragment,True,True,7,0,True,False,7,0,False,
gpt-5.5-instant,Lang-60,C1,fragment,True,True,6,0,True,False,6,0,False,
gpt-5.5-instant,Lang-60,C2,fragment,True,True,4,0,True,False,4,0,False,
llama,Math-2,C1,full_class,True,False,3,1,True,False,3,1,False,
llama,Math-2,C2,full_class,True,False,3,1,True,False,3,1,False,
gemini,Math-2,C1,fragment,True,True,5,0,True,False,5,1,True,
gemini,Math-2,C2,fragment,True,True,3,0,True,False,3,0,False,
deepseek,Math-2,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Math-2,C2,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:incompatible_types
gpt-5.5-instant,Math-2,C1,fragment,True,True,5,0,True,False,5,0,False,
gpt-5.5-instant,Math-2,C2,fragment,True,True,3,0,True,False,3,0,False,
llama,Math-9,C1,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:no_suitable_constructor
llama,Math-9,C2,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:no_suitable_constructor
gemini,Math-9,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gemini,Math-9,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:no_suitable_constructor
deepseek,Math-9,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Math-9,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Math-9,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Math-9,C2,fragment,True,False,2,1,True,False,2,2,False,
llama,Math-27,C1,full_class,True,True,4,0,True,False,4,1,True,
llama,Math-27,C2,full_class,True,True,4,0,True,False,4,1,True,
gemini,Math-27,C1,fragment,True,True,6,0,True,False,6,0,False,
gemini,Math-27,C2,fragment,True,True,4,0,True,False,4,0,False,
deepseek,Math-27,C1,fragment,True,True,13,0,True,False,13,0,False,
deepseek,Math-27,C2,fragment,True,True,13,0,True,False,13,0,False,
gpt-5.5-instant,Math-27,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Math-27,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
llama,Math-53,C1,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:private_method_access
llama,Math-53,C2,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:private_method_access
gemini,Math-53,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gemini,Math-53,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Math-53,C1,fragment,True,False,13,2,True,False,13,1,False,
deepseek,Math-53,C2,fragment,True,False,10,1,True,False,10,1,False,
gpt-5.5-instant,Math-53,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Math-53,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
llama,Math-55,C1,full_class,True,True,5,0,True,False,5,0,False,
llama,Math-55,C2,full_class,True,True,5,0,True,False,5,0,False,
gemini,Math-55,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:private_method_access
gemini,Math-55,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:private_method_access
deepseek,Math-55,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:private_method_access
deepseek,Math-55,C2,fragment,True,True,14,0,True,False,14,0,False,
gpt-5.5-instant,Math-55,C1,fragment,True,True,5,0,True,False,5,0,False,
gpt-5.5-instant,Math-55,C2,fragment,True,True,3,0,True,False,3,0,False,
llama,Math-59,C1,full_class,True,True,6,0,True,False,6,4,True,
llama,Math-59,C2,full_class,True,True,4,0,True,False,4,2,True,
gemini,Math-59,C1,fragment,True,False,7,1,True,False,7,5,False,
gemini,Math-59,C2,fragment,True,False,4,1,True,False,4,3,False,
deepseek,Math-59,C1,fragment,True,False,6,1,True,False,6,4,False,
deepseek,Math-59,C2,fragment,True,False,1,1,True,False,1,1,False,
gpt-5.5-instant,Math-59,C1,fragment,True,True,8,0,True,False,8,2,True,
gpt-5.5-instant,Math-59,C2,fragment,True,True,4,0,True,False,4,1,True,
llama,Math-63,C1,full_class,True,False,2,1,True,False,2,1,False,
llama,Math-63,C2,full_class,True,False,3,1,True,False,3,1,False,
gemini,Math-63,C1,fragment,True,True,7,0,True,False,7,2,True,
gemini,Math-63,C2,fragment,True,True,1,0,True,False,1,1,True,
deepseek,Math-63,C1,fragment,True,True,14,0,True,False,14,2,True,
deepseek,Math-63,C2,fragment,True,False,8,2,True,False,8,3,False,
gpt-5.5-instant,Math-63,C1,fragment,True,True,5,0,True,False,5,2,True,
gpt-5.5-instant,Math-63,C2,fragment,True,False,1,1,True,False,1,0,False,
llama,Math-70,C1,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
llama,Math-70,C2,full_class,False,False,0,0,False,False,0,0,False,nocompile_f:unreported_checked_exception
gemini,Math-70,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gemini,Math-70,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Math-70,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
deepseek,Math-70,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Math-70,C1,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
gpt-5.5-instant,Math-70,C2,fragment,False,False,0,0,False,False,0,0,False,nocompile_f:cannot_find_symbol
llama,Math-75,C1,full_class,True,False,3,1,True,False,3,1,False,
llama,Math-75,C2,full_class,True,False,3,2,True,False,3,2,False,
gemini,Math-75,C1,fragment,True,True,4,0,True,False,4,1,True,
gemini,Math-75,C2,fragment,True,False,4,1,True,False,4,1,False,
deepseek,Math-75,C1,fragment,True,False,3,2,True,False,3,3,False,
deepseek,Math-75,C2,fragment,True,False,6,2,True,False,6,2,False,
gpt-5.5-instant,Math-75,C1,fragment,True,True,3,0,True,False,3,1,True,
gpt-5.5-instant,Math-75,C2,fragment,True,False,3,1,True,False,3,3,False,
llama,Math-79,C1,full_class,True,False,5,3,True,False,5,3,False,
llama,Math-79,C2,full_class,True,True,4,0,True,False,4,0,False,
gemini,Math-79,C1,fragment,True,True,7,0,True,False,7,0,False,
gemini,Math-79,C2,fragment,True,False,9,1,True,False,9,1,False,
deepseek,Math-79,C1,fragment,True,True,8,0,True,False,8,1,True,
deepseek,Math-79,C2,fragment,True,True,4,0,True,False,4,0,False,
gpt-5.5-instant,Math-79,C1,fragment,True,True,6,0,True,False,6,0,False,
gpt-5.5-instant,Math-79,C2,fragment,True,True,4,0,True,False,4,0,False,
