model,bug,condition,compiles,valid,detected,ran,line_cov,branch_cov,parsed,smells
llama,Math-79,C2,True,True,False,True,1.5,0.6,True,0
llama,Math-9,C1,False,False,False,False,0.0,0.0,True,11
llama,Math-9,C2,False,False,False,False,0.0,0.0,True,0
gemini,Chart-10,C1,True,True,True,True,100.0,0.0,True,0
gemini,Chart-10,C2,True,True,True,True,100.0,0.0,True,0
gemini,Chart-11,C1,False,False,False,False,0.0,0.0,True,0
gemini,Chart-11,C2,False,False,False,False,0.0,0.0,True,0
gemini,Chart-15,C1,True,True,True,True,8.9,3.2,True,0
gemini,Chart-15,C2,True,True,True,True,8.9,3.2,True,0
gemini,Chart-17,C1,False,False,False,False,0.0,0.0,True,0
gemini,Chart-17,C2,False,False,False,False,0.0,0.0,True,0
gemini,Chart-19,C1,True,True,True,True,11.9,5.5,True,0
gemini,Chart-19,C2,True,True,True,True,11.9,5.5,True,0
gemini,Chart-1,C1,True,False,False,True,1.9,1.7,True,0
gemini,Chart-1,C2,True,False,False,True,0.6,0.4,True,0
gemini,Chart-21,C1,True,True,True,True,38.4,45.1,True,0
gemini,Chart-21,C2,True,False,False,True,21.6,14.6,True,0
gemini,Chart-22,C1,True,True,True,True,6.9,2.7,True,0
gemini,Chart-22,C2,True,True,True,True,19.3,9.5,True,0
gemini,Chart-23,C1,False,False,False,False,0.0,0.0,True,0
gemini,Chart-23,C2,True,True,True,True,32.8,29.2,True,0
gemini,Chart-24,C1,False,False,False,False,0.0,0.0,True,0
gemini,Chart-24,C2,False,False,False,False,0.0,0.0,True,0
gemini,Lang-10,C1,True,False,False,True,18.4,9.5,True,0
gemini,Lang-10,C2,False,False,False,False,0.0,0.0,True,0
gemini,Lang-19,C1,True,True,True,True,100.0,89.5,True,0
gemini,Lang-19,C2,True,False,False,True,80.0,63.2,True,0
gemini,Lang-22,C1,False,False,False,False,0.0,0.0,True,0
gemini,Lang-22,C2,False,False,False,False,0.0,0.0,True,0
gemini,Lang-26,C1,False,False,False,False,0.0,0.0,True,0
gemini,Lang-26,C2,False,False,False,False,0.0,0.0,True,0
gemini,Lang-30,C1,False,False,False,False,0.0,0.0,True,0
gemini,Lang-30,C2,False,False,False,False,0.0,0.0,True,0
gemini,Lang-41,C1,False,False,False,False,0.0,0.0,True,0
gemini,Lang-41,C2,False,False,False,False,0.0,0.0,True,0
gemini,Lang-42,C1,True,True,True,True,39.8,28.9,True,0
gemini,Lang-42,C2,True,True,True,True,39.8,28.9,True,0
gemini,Lang-57,C1,True,True,True,True,9.2,0.0,True,0
gemini,Lang-57,C2,True,True,True,True,9.2,0.0,True,0
gemini,Lang-60,C1,True,True,False,True,3.5,2.1,True,0
gemini,Lang-60,C2,True,True,True,True,6.0,2.8,True,0
gemini,Lang-8,C1,False,False,False,False,0.0,0.0,True,0
gemini,Lang-8,C2,False,False,False,False,0.0,0.0,True,0
gemini,Math-27,C1,True,True,False,True,16.0,5.3,True,0
gemini,Math-27,C2,True,True,False,True,16.0,5.3,True,0
gemini,Math-2,C1,True,True,True,True,22.7,19.2,True,0
gemini,Math-2,C2,True,True,False,True,27.3,19.2,True,0
gemini,Math-53,C1,True,True,False,True,13.5,11.0,True,0
gemini,Math-53,C2,True,True,False,True,12.3,10.2,True,0
gemini,Math-55,C1,False,False,False,False,0.0,0.0,True,0
gemini,Math-55,C2,False,False,False,False,0.0,0.0,True,0
gemini,Math-59,C1,True,False,False,True,18.5,8.6,True,0
gemini,Math-59,C2,True,False,False,True,18.5,8.6,True,0
gemini,Math-63,C1,True,True,True,True,2.3,2.5,True,0
gemini,Math-63,C2,True,True,True,True,2.3,2.5,True,0
gemini,Math-70,C1,True,True,True,True,13.0,0.0,True,0
gemini,Math-70,C2,True,False,False,True,78.3,83.3,True,0
gemini,Math-75,C1,True,True,True,True,21.7,20.8,True,0
gemini,Math-75,C2,True,False,False,True,23.3,20.8,True,0
gemini,Math-79,C1,True,True,False,True,1.5,0.6,True,0
gemini,Math-79,C2,True,False,False,True,1.5,0.6,True,0
gemini,Math-9,C1,False,False,False,False,0.0,0.0,True,0
gemini,Math-9,C2,False,False,False,False,0.0,0.0,True,0
deepseek,Chart-10,C1,True,False,False,True,100.0,0.0,True,0
deepseek,Chart-10,C2,True,False,False,True,100.0,0.0,True,13
deepseek,Chart-11,C1,False,False,False,False,0.0,0.0,True,0
deepseek,Chart-11,C2,False,False,False,False,0.0,0.0,True,0
deepseek,Chart-15,C1,False,False,False,False,0.0,0.0,True,0
deepseek,Chart-15,C2,True,True,True,True,10.2,3.5,True,0
deepseek,Chart-17,C1,False,False,False,False,0.0,0.0,True,0
deepseek,Chart-17,C2,False,False,False,False,0.0,0.0,True,0
deepseek,Chart-19,C1,True,True,True,True,12.1,5.5,True,0
deepseek,Chart-19,C2,True,True,True,True,12.4,5.9,True,0
deepseek,Chart-1,C1,False,False,False,False,0.0,0.0,True,0
deepseek,Chart-1,C2,False,False,False,False,0.0,0.0,True,0
deepseek,Chart-21,C1,False,False,False,False,0.0,0.0,True,0
deepseek,Chart-21,C2,False,False,False,False,0.0,0.0,True,0
deepseek,Chart-22,C1,False,False,False,False,0.0,0.0,True,0
deepseek,Chart-22,C2,False,False,False,False,0.0,0.0,True,0
deepseek,Chart-23,C1,False,False,False,False,0.0,0.0,True,0
deepseek,Chart-23,C2,False,False,False,False,0.0,0.0,True,0
deepseek,Chart-24,C1,False,False,False,False,0.0,0.0,True,0
deepseek,Chart-24,C2,False,False,False,False,0.0,0.0,True,0
deepseek,Lang-10,C1,False,False,False,False,0.0,0.0,True,0
deepseek,Lang-10,C2,False,False,False,False,0.0,0.0,True,41
deepseek,Lang-19,C1,False,False,False,False,0.0,0.0,True,0
deepseek,Lang-19,C2,True,False,False,True,100.0,92.1,True,0
deepseek,Lang-22,C1,False,False,False,False,0.0,0.0,True,0
deepseek,Lang-22,C2,False,False,False,False,0.0,0.0,True,0
deepseek,Lang-26,C1,False,False,False,False,0.0,0.0,True,0
deepseek,Lang-26,C2,False,False,False,False,0.0,0.0,True,0
deepseek,Lang-30,C1,False,False,False,False,0.0,0.0,True,0
deepseek,Lang-30,C2,False,False,False,False,0.0,0.0,True,0
deepseek,Lang-41,C1,False,False,False,False,0.0,0.0,True,0
deepseek,Lang-41,C2,False,False,False,False,0.0,0.0,True,0
deepseek,Lang-42,C1,False,False,False,False,0.0,0.0,True,0
deepseek,Lang-42,C2,False,False,False,False,0.0,0.0,True,0
deepseek,Lang-57,C1,True,True,True,True,9.2,0.0,True,0
deepseek,Lang-57,C2,True,True,True,True,9.2,0.0,True,0
deepseek,Lang-60,C1,True,True,False,True,3.5,2.1,True,0
deepseek,Lang-60,C2,True,True,False,True,4.5,2.1,True,0
deepseek,Lang-8,C1,True,True,False,True,4.9,2.9,True,16
deepseek,Lang-8,C2,True,True,False,True,4.9,2.9,True,0
deepseek,Math-27,C1,True,True,False,True,16.0,5.3,True,0
deepseek,Math-27,C2,True,True,False,True,17.8,8.5,True,0
deepseek,Math-2,C1,False,False,False,False,0.0,0.0,True,0
deepseek,Math-2,C2,False,False,False,False,0.0,0.0,True,14
deepseek,Math-53,C1,True,False,False,True,11.6,11.0,True,0
deepseek,Math-53,C2,True,False,False,True,14.8,13.6,True,0
deepseek,Math-55,C1,False,False,False,False,0.0,0.0,True,0
deepseek,Math-55,C2,True,True,False,True,30.5,22.0,True,0
deepseek,Math-59,C1,True,False,False,True,18.5,8.6,True,0
deepseek,Math-59,C2,True,False,False,True,18.5,8.5,True,0
deepseek,Math-63,C1,True,True,True,True,2.3,2.5,True,0
deepseek,Math-63,C2,True,False,False,True,2.3,2.5,True,0
deepseek,Math-70,C1,False,False,False,False,0.0,0.0,True,0
deepseek,Math-70,C2,False,False,False,False,0.0,0.0,True,0
deepseek,Math-75,C1,True,False,False,True,21.7,20.8,True,15
deepseek,Math-75,C2,True,False,False,True,24.8,20.8,True,0
deepseek,Math-79,C1,True,True,True,True,1.5,0.6,True,0
deepseek,Math-79,C2,True,True,False,True,1.5,0.6,True,0
deepseek,Math-9,C1,False,False,False,False,0.0,0.0,True,0
deepseek,Math-9,C2,False,False,False,False,0.0,0.0,True,0
gpt-5.5-instant,Chart-10,C1,True,False,False,True,100.0,0.0,True,8
gpt-5.5-instant,Chart-10,C2,True,True,True,True,100.0,0.0,True,0
gpt-5.5-instant,Chart-11,C1,False,False,False,False,0.0,0.0,True,18
gpt-5.5-instant,Chart-11,C2,False,False,False,False,0.0,0.0,True,0
gpt-5.5-instant,Chart-15,C1,True,True,True,True,10.0,3.8,True,19
gpt-5.5-instant,Chart-15,C2,True,True,True,True,9.1,3.2,True,0
gpt-5.5-instant,Chart-17,C1,True,True,True,True,24.4,20.3,True,31
gpt-5.5-instant,Chart-17,C2,True,True,True,True,16.1,10.1,True,0
gpt-5.5-instant,Chart-19,C1,True,True,True,True,12.1,5.5,True,14
gpt-5.5-instant,Chart-19,C2,True,True,True,True,11.9,5.5,True,0
gpt-5.5-instant,Chart-1,C1,True,False,False,True,2.1,2.1,True,24
gpt-5.5-instant,Chart-1,C2,True,False,False,True,1.9,1.7,True,0
gpt-5.5-instant,Chart-21,C1,True,True,False,True,22.2,17.1,True,23
gpt-5.5-instant,Chart-21,C2,False,False,False,False,0.0,0.0,True,0
gpt-5.5-instant,Chart-22,C1,True,True,True,True,26.9,16.2,True,23
gpt-5.5-instant,Chart-22,C2,True,True,True,True,20.7,9.5,True,0
gpt-5.5-instant,Chart-23,C1,False,False,False,False,0.0,0.0,True,43
gpt-5.5-instant,Chart-23,C2,True,False,False,True,33.6,27.1,True,0
gpt-5.5-instant,Chart-24,C1,False,False,False,False,0.0,0.0,True,15
gpt-5.5-instant,Chart-24,C2,False,False,False,False,0.0,0.0,True,0
gpt-5.5-instant,Lang-10,C1,True,False,False,True,18.4,9.5,True,31
gpt-5.5-instant,Lang-10,C2,True,False,False,True,18.4,9.5,True,0
gpt-5.5-instant,Lang-19,C1,True,True,True,True,100.0,89.5,True,55
gpt-5.5-instant,Lang-19,C2,True,True,True,True,96.7,78.9,True,0
gpt-5.5-instant,Lang-22,C1,False,False,False,False,0.0,0.0,True,17
gpt-5.5-instant,Lang-22,C2,True,True,True,True,15.2,13.3,True,0
gpt-5.5-instant,Lang-26,C1,True,True,False,True,42.4,39.2,True,18
gpt-5.5-instant,Lang-26,C2,True,True,False,True,41.2,34.5,True,0
gpt-5.5-instant,Lang-30,C1,False,False,False,False,0.0,0.0,True,20
gpt-5.5-instant,Lang-30,C2,False,False,False,False,0.0,0.0,True,0
gpt-5.5-instant,Lang-41,C1,True,True,True,True,15.7,6.8,True,20
gpt-5.5-instant,Lang-41,C2,False,False,False,False,0.0,0.0,True,0
gpt-5.5-instant,Lang-42,C1,True,True,True,True,40.7,28.9,True,30
gpt-5.5-instant,Lang-42,C2,True,False,False,True,38.0,26.3,True,0
gpt-5.5-instant,Lang-57,C1,True,True,True,True,9.2,0.0,True,8
gpt-5.5-instant,Lang-57,C2,True,True,True,True,9.2,0.0,True,0
gpt-5.5-instant,Lang-60,C1,True,True,False,True,3.7,1.8,True,22
gpt-5.5-instant,Lang-60,C2,True,True,False,True,3.7,1.8,True,0
gpt-5.5-instant,Lang-8,C1,False,False,False,False,0.0,0.0,True,0
gpt-5.5-instant,Lang-8,C2,True,True,False,True,4.9,2.9,True,0
gpt-5.5-instant,Math-27,C1,False,False,False,False,0.0,0.0,True,16
gpt-5.5-instant,Math-27,C2,False,False,False,False,0.0,0.0,True,0
gpt-5.5-instant,Math-2,C1,True,True,False,True,27.3,19.2,True,10
gpt-5.5-instant,Math-2,C2,True,True,False,True,27.3,19.2,True,0
gpt-5.5-instant,Math-53,C1,True,True,False,True,12.3,10.2,True,24
gpt-5.5-instant,Math-53,C2,True,True,False,True,12.3,10.2,True,0
gpt-5.5-instant,Math-55,C1,True,True,False,True,28.2,4.0,True,38
gpt-5.5-instant,Math-55,C2,True,True,False,True,27.5,2.0,True,0
gpt-5.5-instant,Math-59,C1,True,True,True,True,18.5,8.6,True,16
gpt-5.5-instant,Math-59,C2,True,True,True,True,18.5,8.6,True,0
gpt-5.5-instant,Math-63,C1,True,True,True,True,2.1,2.3,True,13
gpt-5.5-instant,Math-63,C2,True,False,False,True,1.9,1.6,True,0
gpt-5.5-instant,Math-70,C1,True,False,False,True,78.3,83.3,True,10
gpt-5.5-instant,Math-70,C2,True,True,True,True,78.3,83.3,True,0
gpt-5.5-instant,Math-75,C1,True,True,True,True,21.7,20.8,True,13
gpt-5.5-instant,Math-75,C2,True,False,False,True,21.7,20.8,True,0
gpt-5.5-instant,Math-79,C1,True,True,False,True,1.5,0.6,True,14
gpt-5.5-instant,Math-79,C2,True,True,False,True,1.5,0.6,True,0
gpt-5.5-instant,Math-9,C1,False,False,False,False,0.0,0.0,True,26
gpt-5.5-instant,Math-9,C2,True,False,False,True,39.1,6.2,True,0
