App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
llama__Chart-1__C1,AbstractCategoryItemRendererTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-1_C1/org/jfree/chart/renderer/category/AbstractCategoryItemRendererTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_1f/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,,,5,2,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,4,0
llama__Chart-1__C2,AbstractCategoryItemRendererTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-1_C2/org/jfree/chart/renderer/category/AbstractCategoryItemRendererTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_1f/source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,4,0
llama__Chart-21__C1,DefaultBoxAndWhiskerCategoryDatasetTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-21_C1/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDatasetTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_21f/source/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,1,0,0,0,5,0
llama__Chart-21__C2,DefaultBoxAndWhiskerCategoryDatasetTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-21_C2/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDatasetTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_21f/source/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
llama__Chart-22__C1,KeyedObjects2DTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-22_C1/org/jfree/data/KeyedObjects2DTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_22f/source/org/jfree/data/KeyedObjects2D.java,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,4,0
llama__Chart-22__C2,KeyedObjects2DTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-22_C2/org/jfree/data/KeyedObjects2DTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_22f/source/org/jfree/data/KeyedObjects2D.java,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
llama__Chart-23__C1,MinMaxCategoryRendererTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-23_C1/org/jfree/chart/renderer/category/MinMaxCategoryRendererTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_23f/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,1,0,0,7,0
llama__Chart-23__C2,MinMaxCategoryRendererTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-23_C2/org/jfree/chart/renderer/category/MinMaxCategoryRendererTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_23f/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
llama__Chart-24__C1,GrayPaintScaleTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-24_C1/org/jfree/chart/renderer/GrayPaintScaleTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_24f/source/org/jfree/chart/renderer/GrayPaintScale.java,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0
llama__Chart-24__C2,GrayPaintScaleTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Chart-24_C2/org/jfree/chart/renderer/GrayPaintScaleTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_24f/source/org/jfree/chart/renderer/GrayPaintScale.java,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
llama__Lang-19__C1,NumericEntityUnescaperTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Lang-19_C1/org/apache/commons/lang3/text/translate/NumericEntityUnescaperTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Lang_19f/src/main/java/org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,,,9,8,0,0,0,0,8,0,0,0,0,8,0,0,0,8,0,0,0,0,8,0
llama__Lang-19__C2,NumericEntityUnescaperTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Lang-19_C2/org/apache/commons/lang3/text/translate/NumericEntityUnescaperTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Lang_19f/src/main/java/org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
llama__Lang-22__C1,FractionTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Lang-22_C1/org/apache/commons/lang3/math/FractionTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Lang_22f/src/main/java/org/apache/commons/lang3/math/Fraction.java,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0
llama__Lang-22__C2,FractionTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Lang-22_C2/org/apache/commons/lang3/math/FractionTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Lang_22f/src/main/java/org/apache/commons/lang3/math/Fraction.java,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
llama__Lang-26__C1,FastDateFormatTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Lang-26_C1/org/apache/commons/lang3/time/FastDateFormatTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Lang_26f/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java,,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,3,0
llama__Lang-26__C2,FastDateFormatTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Lang-26_C2/org/apache/commons/lang3/time/FastDateFormatTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Lang_26f/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
llama__Lang-30__C1,StringUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Lang-30_C1/org/apache/commons/lang3/StringUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Lang_30f/src/main/java/org/apache/commons/lang3/StringUtils.java,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0
llama__Lang-30__C2,StringUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Lang-30_C2/org/apache/commons/lang3/StringUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Lang_30f/src/main/java/org/apache/commons/lang3/StringUtils.java,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
llama__Lang-41__C1,ClassUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Lang-41_C1/org/apache/commons/lang/ClassUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Lang_41f/src/java/org/apache/commons/lang/ClassUtils.java,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0
llama__Lang-41__C2,ClassUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Lang-41_C2/org/apache/commons/lang/ClassUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Lang_41f/src/java/org/apache/commons/lang/ClassUtils.java,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
llama__Lang-42__C1,EntitiesTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Lang-42_C1/org/apache/commons/lang/EntitiesTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Lang_42f/src/java/org/apache/commons/lang/Entities.java,,,8,0,0,0,0,0,7,0,0,0,0,7,0,0,0,7,0,0,0,0,7,0
llama__Lang-42__C2,EntitiesTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Lang-42_C2/org/apache/commons/lang/EntitiesTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Lang_42f/src/java/org/apache/commons/lang/Entities.java,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
llama__Lang-57__C1,LocaleUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Lang-57_C1/org/apache/commons/lang/LocaleUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Lang_57f/src/java/org/apache/commons/lang/LocaleUtils.java,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
llama__Lang-57__C2,LocaleUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Lang-57_C2/org/apache/commons/lang/LocaleUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Lang_57f/src/java/org/apache/commons/lang/LocaleUtils.java,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
llama__Lang-60__C1,StrBuilderTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Lang-60_C1/org/apache/commons/lang/text/StrBuilderTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Lang_60f/src/java/org/apache/commons/lang/text/StrBuilder.java,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
llama__Lang-60__C2,StrBuilderTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Lang-60_C2/org/apache/commons/lang/text/StrBuilderTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Lang_60f/src/java/org/apache/commons/lang/text/StrBuilder.java,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
llama__Lang-8__C1,FastDatePrinterTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Lang-8_C1/org/apache/commons/lang3/time/FastDatePrinterTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Lang_8f/src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java,,,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,0,0,3,0
llama__Lang-8__C2,FastDatePrinterTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Lang-8_C2/org/apache/commons/lang3/time/FastDatePrinterTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Lang_8f/src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
llama__Math-27__C1,FractionTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-27_C1/org/apache/commons/math3/fraction/FractionTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_27f/src/main/java/org/apache/commons/math3/fraction/Fraction.java,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0
llama__Math-27__C2,FractionTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-27_C2/org/apache/commons/math3/fraction/FractionTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_27f/src/main/java/org/apache/commons/math3/fraction/Fraction.java,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
llama__Math-2__C1,HypergeometricDistributionTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-2_C1/org/apache/commons/math3/distribution/HypergeometricDistributionTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_2f/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
llama__Math-2__C2,HypergeometricDistributionTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-2_C2/org/apache/commons/math3/distribution/HypergeometricDistributionTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_2f/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
llama__Math-53__C1,ComplexTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-53_C1/org/apache/commons/math/complex/ComplexTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_53f/src/main/java/org/apache/commons/math/complex/Complex.java,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
llama__Math-53__C2,ComplexTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-53_C2/org/apache/commons/math/complex/ComplexTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_53f/src/main/java/org/apache/commons/math/complex/Complex.java,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
llama__Math-55__C1,Vector3DTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-55_C1/org/apache/commons/math/geometry/Vector3DTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_55f/src/main/java/org/apache/commons/math/geometry/Vector3D.java,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,5,0
llama__Math-55__C2,Vector3DTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-55_C2/org/apache/commons/math/geometry/Vector3DTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_55f/src/main/java/org/apache/commons/math/geometry/Vector3D.java,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
llama__Math-59__C1,FastMathTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-59_C1/org/apache/commons/math/util/FastMathTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_59f/src/main/java/org/apache/commons/math/util/FastMath.java,,,6,5,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,6,0
llama__Math-59__C2,FastMathTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-59_C2/org/apache/commons/math/util/FastMathTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_59f/src/main/java/org/apache/commons/math/util/FastMath.java,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
llama__Math-63__C1,MathUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-63_C1/org/apache/commons/math/util/MathUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_63f/src/main/java/org/apache/commons/math/util/MathUtils.java,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,2,0
llama__Math-63__C2,MathUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-63_C2/org/apache/commons/math/util/MathUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_63f/src/main/java/org/apache/commons/math/util/MathUtils.java,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
llama__Math-70__C1,BisectionSolverTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-70_C1/org/apache/commons/math/analysis/solvers/BisectionSolverTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_70f/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java,,,4,1,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0
llama__Math-70__C2,BisectionSolverTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-70_C2/org/apache/commons/math/analysis/solvers/BisectionSolverTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_70f/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
llama__Math-75__C1,FrequencyTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-75_C1/org/apache/commons/math/stat/FrequencyTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_75f/src/main/java/org/apache/commons/math/stat/Frequency.java,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,3,0
llama__Math-75__C2,FrequencyTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-75_C2/org/apache/commons/math/stat/FrequencyTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_75f/src/main/java/org/apache/commons/math/stat/Frequency.java,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
llama__Math-79__C1,MathUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-79_C1/org/apache/commons/math/util/MathUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_79f/src/main/java/org/apache/commons/math/util/MathUtils.java,,,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,5,0
llama__Math-79__C2,MathUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-79_C2/org/apache/commons/math/util/MathUtilsTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_79f/src/main/java/org/apache/commons/math/util/MathUtils.java,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
llama__Math-9__C1,LineTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-9_C1/org/apache/commons/math3/geometry/euclidean/threed/LineTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_9f/src/main/java/org/apache/commons/math3/geometry/euclidean/threed/Line.java,,,4,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,0,0,0,0,3,0
llama__Math-9__C2,LineTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/llama/Math-9_C2/org/apache/commons/math3/geometry/euclidean/threed/LineTest.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Math_9f/src/main/java/org/apache/commons/math3/geometry/euclidean/threed/Line.java,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gemini__Chart-10__C1,gemini_Chart_10_C1_Test.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/gemini/Chart-10_C1/org/jfree/chart/imagemap/gemini_Chart_10_C1_Test.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_10f/source/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gemini__Chart-10__C2,gemini_Chart_10_C2_Test.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/gemini/Chart-10_C2/org/jfree/chart/imagemap/gemini_Chart_10_C2_Test.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_10f/source/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gemini__Chart-11__C1,gemini_Chart_11_C1_Test.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_smells/gemini/Chart-11_C1/org/jfree/chart/util/gemini_Chart_11_C1_Test.java,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/Chart_11f/source/org/jfree/chart/util/ShapeUtilities.java,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
