model,bug,condition,parsed,num_methods,total_smells,distinct_smells,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
llama,Chart-22,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
llama,Chart-23,C1,True,7,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,1,0,0,7,0
llama,Chart-23,C2,True,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
llama,Chart-24,C1,True,6,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0
llama,Chart-24,C2,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
llama,Lang-10,C1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
llama,Lang-10,C2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
llama,Lang-19,C1,True,9,40,5,8,0,0,0,0,8,0,0,0,0,8,0,0,0,8,0,0,0,0,8,0
llama,Lang-19,C2,True,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
llama,Lang-22,C1,True,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0
llama,Lang-22,C2,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
llama,Lang-26,C1,True,4,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,3,0
llama,Lang-26,C2,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
llama,Lang-30,C1,True,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0
llama,Lang-30,C2,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
llama,Lang-41,C1,True,7,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0
llama,Lang-41,C2,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
llama,Lang-42,C1,True,8,28,4,0,0,0,0,0,7,0,0,0,0,7,0,0,0,7,0,0,0,0,7,0
llama,Lang-42,C2,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
llama,Lang-57,C1,True,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
llama,Lang-57,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
llama,Lang-60,C1,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
llama,Lang-60,C2,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
llama,Lang-8,C1,True,3,15,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,0,0,3,0
llama,Lang-8,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
llama,Math-27,C1,True,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0
llama,Math-27,C2,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
llama,Math-2,C1,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
llama,Math-2,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
llama,Math-53,C1,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
llama,Math-53,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
llama,Math-55,C1,True,5,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,5,0
llama,Math-55,C2,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
llama,Math-59,C1,True,6,29,4,5,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,6,0
llama,Math-59,C2,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
llama,Math-63,C1,True,2,17,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,2,0
llama,Math-63,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
llama,Math-70,C1,True,4,13,4,1,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0
llama,Math-70,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
llama,Math-75,C1,True,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,3,0
llama,Math-75,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
llama,Math-79,C1,True,5,16,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,5,0
llama,Math-79,C2,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
llama,Math-9,C1,True,4,11,4,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,0,0,0,0,3,0
llama,Math-9,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gemini,Chart-10,C1,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gemini,Chart-10,C2,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gemini,Chart-11,C1,True,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
gemini,Chart-11,C2,True,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
gemini,Chart-15,C1,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
gemini,Chart-15,C2,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
gemini,Chart-17,C1,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gemini,Chart-17,C2,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gemini,Chart-19,C1,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gemini,Chart-19,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gemini,Chart-1,C1,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gemini,Chart-1,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gemini,Chart-21,C1,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
gemini,Chart-21,C2,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
gemini,Chart-22,C1,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemini,Chart-22,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gemini,Chart-23,C1,True,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
gemini,Chart-23,C2,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gemini,Chart-24,C1,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
gemini,Chart-24,C2,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
gemini,Lang-10,C1,True,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
gemini,Lang-10,C2,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
gemini,Lang-19,C1,True,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
gemini,Lang-19,C2,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gemini,Lang-22,C1,True,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
gemini,Lang-22,C2,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
gemini,Lang-26,C1,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
gemini,Lang-26,C2,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gemini,Lang-30,C1,True,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemini,Lang-30,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gemini,Lang-41,C1,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemini,Lang-41,C2,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gemini,Lang-42,C1,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
gemini,Lang-42,C2,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
gemini,Lang-57,C1,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemini,Lang-57,C2,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gemini,Lang-60,C1,True,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
gemini,Lang-60,C2,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
gemini,Lang-8,C1,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemini,Lang-8,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gemini,Math-27,C1,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemini,Math-27,C2,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
gemini,Math-2,C1,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
gemini,Math-2,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gemini,Math-53,C1,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
gemini,Math-53,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gemini,Math-55,C1,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
gemini,Math-55,C2,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gemini,Math-59,C1,True,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
gemini,Math-59,C2,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
gemini,Math-63,C1,True,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
gemini,Math-63,C2,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
gemini,Math-70,C1,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemini,Math-70,C2,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gemini,Math-75,C1,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
gemini,Math-75,C2,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
gemini,Math-79,C1,True,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
gemini,Math-79,C2,True,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
gemini,Math-9,C1,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gemini,Math-9,C2,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
deepseek,Chart-10,C1,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek,Chart-10,C2,True,6,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0
deepseek,Chart-11,C1,True,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
deepseek,Chart-11,C2,True,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
deepseek,Chart-15,C1,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek,Chart-15,C2,True,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
deepseek,Chart-17,C1,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
deepseek,Chart-17,C2,True,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
deepseek,Chart-19,C1,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek,Chart-19,C2,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
deepseek,Chart-1,C1,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek,Chart-1,C2,True,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
deepseek,Chart-21,C1,True,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek,Chart-21,C2,True,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
deepseek,Chart-22,C1,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek,Chart-22,C2,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
deepseek,Chart-23,C1,True,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
deepseek,Chart-23,C2,True,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
deepseek,Chart-24,C1,True,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek,Chart-24,C2,True,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
deepseek,Lang-10,C1,True,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek,Lang-10,C2,True,13,41,5,12,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,13,0
deepseek,Lang-19,C1,True,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek,Lang-19,C2,True,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
deepseek,Lang-22,C1,True,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
deepseek,Lang-22,C2,True,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
deepseek,Lang-26,C1,True,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
deepseek,Lang-26,C2,True,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
deepseek,Lang-30,C1,True,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
deepseek,Lang-30,C2,True,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
deepseek,Lang-41,C1,True,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek,Lang-41,C2,True,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
deepseek,Lang-42,C1,True,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek,Lang-42,C2,True,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
deepseek,Lang-57,C1,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek,Lang-57,C2,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
deepseek,Lang-60,C1,True,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek,Lang-60,C2,True,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
deepseek,Lang-8,C1,True,6,16,4,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0
deepseek,Lang-8,C2,True,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
deepseek,Math-27,C1,True,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
deepseek,Math-27,C2,True,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
deepseek,Math-2,C1,True,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek,Math-2,C2,True,6,14,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0
deepseek,Math-53,C1,True,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
deepseek,Math-53,C2,True,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
deepseek,Math-55,C1,True,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
deepseek,Math-55,C2,True,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
deepseek,Math-59,C1,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek,Math-59,C2,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
deepseek,Math-63,C1,True,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
deepseek,Math-63,C2,True,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
deepseek,Math-70,C1,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek,Math-70,C2,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
deepseek,Math-75,C1,True,3,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,3,0
deepseek,Math-75,C2,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
deepseek,Math-79,C1,True,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
deepseek,Math-79,C2,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
deepseek,Math-9,C1,True,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
deepseek,Math-9,C2,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
gpt-5.5-instant,Chart-10,C1,True,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0
gpt-5.5-instant,Chart-10,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gpt-5.5-instant,Chart-11,C1,True,9,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0
gpt-5.5-instant,Chart-11,C2,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
gpt-5.5-instant,Chart-15,C1,True,5,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,5,0
gpt-5.5-instant,Chart-15,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gpt-5.5-instant,Chart-17,C1,True,4,31,5,4,0,0,0,0,4,0,0,0,0,0,0,0,4,15,0,0,0,0,4,0
gpt-5.5-instant,Chart-17,C2,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gpt-5.5-instant,Chart-19,C1,True,3,14,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,3,0
gpt-5.5-instant,Chart-19,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gpt-5.5-instant,Chart-1,C1,True,4,24,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,4,0
gpt-5.5-instant,Chart-1,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gpt-5.5-instant,Chart-21,C1,True,4,23,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,4,0
gpt-5.5-instant,Chart-21,C2,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
gpt-5.5-instant,Chart-22,C1,True,4,23,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,4,0
gpt-5.5-instant,Chart-22,C2,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gpt-5.5-instant,Chart-23,C1,True,8,43,4,5,0,0,0,0,0,0,0,0,0,0,0,0,5,25,0,0,0,0,8,0
gpt-5.5-instant,Chart-23,C2,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
gpt-5.5-instant,Chart-24,C1,True,5,15,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0
gpt-5.5-instant,Chart-24,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gpt-5.5-instant,Lang-10,C1,True,7,31,5,3,0,0,0,0,7,0,0,0,0,7,0,0,0,7,0,0,0,0,7,0
gpt-5.5-instant,Lang-10,C2,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
gpt-5.5-instant,Lang-19,C1,True,11,55,5,11,0,0,0,0,11,0,0,0,0,11,0,0,0,11,0,0,0,0,11,0
gpt-5.5-instant,Lang-19,C2,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
gpt-5.5-instant,Lang-22,C1,True,7,17,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
gpt-5.5-instant,Lang-22,C2,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
gpt-5.5-instant,Lang-26,C1,True,4,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,4,0
gpt-5.5-instant,Lang-26,C2,True,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
gpt-5.5-instant,Lang-30,C1,True,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0
gpt-5.5-instant,Lang-30,C2,True,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gpt-5.5-instant,Lang-41,C1,True,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0
gpt-5.5-instant,Lang-41,C2,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
gpt-5.5-instant,Lang-42,C1,True,6,30,5,0,0,0,0,0,6,0,0,0,0,6,0,0,2,10,0,0,0,0,6,0
